web_scraper_order,web_scraper_start_url,nomor_sertifikat,tanggal_terbit,plg_id,nama_pemohon,nama_perangkat,merk,model,nama_pemasaran,negara
1782486160-10,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,95751/SDPPI/2023,04 Des 2023,1758,PT  MOTOROLA SOLUTIONS INDONESIA,Portable Radio,Motorola,XiR C2660,AZH87JDF9JA2AN  VHF 136-174 MHz,Malaysia
1782486160-11,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,95710/SDPPI/2023,04 Des 2023,3797,PT  INTAN KOMUNIKASI INDONESIA,Portable Radio,SME-Com,SME-Com 338 UHF,Portable Radio,China
1782486160-12,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,95636/SDPPI/2023,30 Nov 2023,2276,PT  GAJAH MANDALA JAYA,Portable Radio,Tait,TP9360,Portable Radio,New Zealand
1782486160-13,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,95594/SDPPI/2023,29 Nov 2023,1758,PT  MOTOROLA SOLUTIONS INDONESIA,Portable Radio,Motorola,MTP3500,"AZH62UCF6TZ8AN  Band 800 : 806-825 MHz, 851-870 MHz",Malaysia
1782486160-14,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,95584/SDPPI/2023,28 Nov 2023,1758,PT  MOTOROLA SOLUTIONS INDONESIA,Portable Radio,Motorola,SL2M,AZH88YCD9SA2AN  UHF 403 - 470 MHz,Malaysia
1782486160-15,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,95481/SDPPI/2023,23 Nov 2023,1758,PT  MOTOROLA SOLUTIONS INDONESIA,Portable Radio,Motorola,XiR C2620,AZH87JDH9JA2AN  VHF 136 - 174 MHz,Malaysia
1782486160-16,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,95370/SDPPI/2023,17 Nov 2023,1758,PT  MOTOROLA SOLUTIONS INDONESIA,Portable Radio,Motorola,MTP3500,"AZH62UCF6TZ8BN  Band 800 : 806-825 MHz, 851-870 MHz",Malaysia
1782486160-17,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,94864/SDPPI/2023,03 Nov 2023,4773,PT  HARRISMA INFORMATIKA JAYA,Digital Portable Radio,MAG ONE,VZ28,MAG ONE VZ28,China
1782486160-18,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,94639/SDPPI/2023,30 Okt 2023,1774,PT  MOBILKOM TELEKOMINDO,PORTABLE RADIO,MOTOROLA,MTP3100,MOTOROLA,Malaysia
1782486160-19,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,94338/SDPPI/2023,19 Okt 2023,14635,PT  TEKNOLOGI TIMUR INDONESIA,Digital Portable Radio,Hytera,HP508,Hytera HP508 VHF ( 136 - 174 MHz ),China
1782486160-20,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,94131/SDPPI/2023,12 Okt 2023,14635,PT  TEKNOLOGI TIMUR INDONESIA,Digital Portable Radio,Hytera,HM688,Hytera HM688 VHF ( 136 - 174 MHz ),China
1782486160-21,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,93863/SDPPI/2023,05 Okt 2023,4773,PT  HARRISMA INFORMATIKA JAYA,PORTABLE RADIO,MOTOROLA,XiR P3688,MOTOROLA XiR P3688,Malaysia
1782486160-22,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,93814/SDPPI/2023,03 Okt 2023,14635,PT  TEKNOLOGI TIMUR INDONESIA,Digital Portable Radio,Hytera,HP568,Hytera HP568 UHF  ( 400 - 438  ),China
1782486160-23,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,93142/SDPPI/2023,30 Agu 2023,1758,PT  MOTOROLA SOLUTIONS INDONESIA,Portable Radio,Motorola,XiR C2620,AZH87NDH9JA2AN  350 - 400 MHz,Malaysia
1782486160-24,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,92825/SDPPI/2023,18 Agu 2023,1758,PT  MOTOROLA SOLUTIONS INDONESIA,Portable Radio,Motorola,XiR C2660,AZH87NDF9JA2AN,Malaysia
1782486160-25,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,92816/SDPPI/2023,18 Agu 2023,2276,PT  GAJAH MANDALA JAYA,Portable Radio,Tait,TP2210,Portable Radio,New Zealand
1782486160-26,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,92585/SDPPI/2023,08 Agu 2023,14635,PT  TEKNOLOGI TIMUR INDONESIA,Digital Portable Radio,Hytera,BD508,Hytera BD508,China
1782486160-27,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,92574/SDPPI/2023,08 Agu 2023,1758,PT  MOTOROLA SOLUTIONS INDONESIA,Portable Radio,Motorola,XiR P6600i,AZH02RDC9VA1AN,Malaysia
1782486160-28,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,92573/SDPPI/2023,08 Agu 2023,1758,PT  MOTOROLA SOLUTIONS INDONESIA,Portable Radio,Motorola,XiR P6620i,AZH02RDH9VA1AN,Malaysia
1782486160-29,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,92461/SDPPI/2023,03 Agu 2023,1758,PT  MOTOROLA SOLUTIONS INDONESIA,Portable Radio,Motorola,XiR P6620i,AZH02JDH9VA1AN,Malaysia
1782486160-30,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,92110/SDPPI/2023,21 Jul 2023,7126,PT  MITRATAMA BERKAT SEJAHTERA,Portable Radio,Hytera,PD688,Hytera,China
1782486160-31,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,91821/SDPPI/2023,11 Jul 2023,1758,PT  MOTOROLA SOLUTIONS INDONESIA,Portable Radio,Motorola,APX N30,H15UCF9PW6AN-H,Malaysia
1782486160-32,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,91706/SDPPI/2023,06 Jul 2023,1758,PT  MOTOROLA SOLUTIONS INDONESIA,Portable Radio,Motorola,APX N50,H25UCF9PW6AN,Malaysia
1782486160-33,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,89309/SDPPI/2023,21 Mar 2023,1889,PT  CITRADATA PURNAKHARISMA,Portable Radio/Two Way Radio,Motorola,XiR P8668i,Motorola,Malaysia
1782486160-34,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,88199/SDPPI/2023,02 Feb 2023,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Portable Radio,Motorola,APX N50,H25UCF9PW6AN-H,Malaysia
1782486160-35,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,88147/SDPPI/2023,02 Feb 2023,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Portable Radio,Motorola,APX N30,H15UCF9PW6AN,Malaysia
1782486160-36,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,87796/SDPPI/2023,25 Jan 2023,7325,PT.HYTERA COMMUNICATIONS INDONESIA,DIGITAL PORTABLE RADIO,HYTERA,BP518 U3,BP518 U3,China
1782486160-37,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,86180/SDPPI/2022,09 Nov 2022,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Portable Radio,Motorola,MTP3500,Motorola,Malaysia
1782486160-38,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,86181/SDPPI/2022,09 Nov 2022,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Portable Radio,Motorola,MTP3550,Motorola,Malaysia
1782486160-39,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,86063/SDPPI/2022,03 Nov 2022,2276,"GAJAH MANDALA JAYA, PT.",Portable Radio,Tait,TP9660,Portable Radio,New Zealand
1782486160-40,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,85156/SDPPI/2022,27 Sep 2022,1774,"MOBILKOM TELEKOMINDO, PT.",TETRA Portable Radio,MOTOROLA,MTP6650,"MOTOROLA SOLUTION, inc",Malaysia
1782486160-41,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,84843/SDPPI/2022,15 Sep 2022,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Portable Radio,Motorola,MXP600 AZH77PCN6TZ5AN,Motorola,Malaysia
1782486160-42,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,84723/SDPPI/2022,12 Sep 2022,13666,PT. SENTRA ADVIS SOLUSINDO,PORTABLE RADIO,KIRISUN,T65,KIRISUN T65,China
1782486160-43,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,84680/SDPPI/2022,09 Sep 2022,2027,"SIMOCO INDONESIA, PT.",DMR Portable Radio,Simoco,SimocoXd/SDP760 (136-174 MHz,Simoco EMEA,United Kingdom
1782486160-44,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,84380/SDPPI/2022,29 Agu 2022,13666,PT. SENTRA ADVIS SOLUSINDO,PORTABLE RADIO,KIRISUN,T350,KIRISUN T350,China
1782486160-45,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,83876/SDPPI/2022,09 Agu 2022,7126,"Mitratama Berkat Sejahtera, PT.",DIGITAL PORTABLE RADIO,HYTERA,HP788,DIGITAL PORTABLE RADIO,China
1782486160-46,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,83369/SDPPI/2022,18 Jul 2022,12517,PT. GINTUNG LINTAS BUANA,Portable Radio,Motorola,MTP3500  (350-470 MHz),Motorola,Malaysia
1782486160-47,https://sertifikasi.postel.go.id/sertifikat/sertifikat-terbit,83175/SDPPI/2022,11 Jul 2022,1758,"MOTOROLA  SOLUTIONS INDONESIA, PT.",Portable Radio,Motorola,XiR P8600i AZH56RDC9VA1AN-TIA,Motorola,Malaysia
