cosine_sim,levenshtein,jaccard,token_overlap,length_diff,brand_match,model_in_title,label
0.75950104,0.28387096774193543,0.125,0.3,0.3333333333333333,0,0,0
0.747165084,0.38926174496644295,0.09090909090909091,0.2857142857142857,0.3978494623655914,0,0,0
0.745211959,0.4125,0.125,0.3,0.27956989247311825,0,0,0
0.737988472,0.3829787234042553,0.18181818181818182,0.4444444444444444,0.4838709677419355,1,0,0
0.727530718,0.41333333333333333,0.15,0.5,0.3870967741935484,1,0,0
0.746258378,0.32061068702290074,0.09523809523809523,0.2857142857142857,0.5113636363636364,1,0,0
0.743495107,0.31818181818181823,0.09523809523809523,0.2857142857142857,0.5,1,0,0
0.743495107,0.31818181818181823,0.09523809523809523,0.2857142857142857,0.5,1,0,0
0.737111628,0.36111111111111116,0.04,0.1,0.36363636363636365,0,0,0
0.734911799,0.37037037037037035,0.09090909090909091,0.25,0.4659090909090909,1,0,0
0.881614685,0.38983050847457623,0.1388888888888889,0.3333333333333333,0.525,1,0,0
0.877589881,0.39148936170212767,0.1388888888888889,0.3333333333333333,0.53125,1,0,0
0.877589881,0.39148936170212767,0.1388888888888889,0.3333333333333333,0.53125,1,0,0
0.83348155,0.3732057416267942,0.1724137931034483,0.625,0.69375,1,0,0
0.780908823,0.3317972350230415,0.12121212121212122,0.36363636363636365,0.64375,1,0,0
0.893673122,0.3931623931623932,0.1388888888888889,0.3333333333333333,0.5189873417721519,1,0,0
0.887572289,0.3948497854077253,0.1388888888888889,0.3333333333333333,0.5253164556962026,1,0,0
0.887572289,0.3948497854077253,0.1388888888888889,0.3333333333333333,0.5253164556962026,1,0,0
0.850542486,0.37681159420289856,0.1724137931034483,0.625,0.689873417721519,1,0,0
0.776365876,0.33488372093023255,0.12121212121212122,0.36363636363636365,0.6392405063291139,1,0,0
0.784043372,0.4,0.1,0.4,0.5393258426966292,1,0,0
0.784043372,0.4,0.1,0.4,0.5393258426966292,1,0,0
0.783271968,0.30534351145038163,0.08333333333333333,0.2222222222222222,0.5280898876404494,0,0,0
0.783220947,0.3382352941176471,0.09090909090909091,0.2857142857142857,0.47191011235955055,0,0,0
0.782793522,0.304635761589404,0.08,0.2,0.30337078651685395,0,0,0
0.815847516,0.3851851851851852,0.15,0.2727272727272727,0.2692307692307692,1,0,0
0.815847456,0.3851851851851852,0.15,0.2727272727272727,0.2692307692307692,1,0,0
0.802066565,0.5271317829457365,0.23529411764705882,0.4444444444444444,0.34615384615384615,1,0,0
0.785840154,0.4375,0.16666666666666666,0.3333333333333333,0.358974358974359,1,0,0
0.777099073,0.4,0.12,0.1875,0.10344827586206896,0,0,0
0.765379429,0.4193548387096774,0.1111111111111111,0.25,0.32432432432432434,0,0,0
0.748917222,0.43333333333333335,0.16666666666666666,0.3333333333333333,0.3783783783783784,0,0,0
